Family;Genus;Species;Species English
Tetraodontidae;Canthigaster;compressa;Fingerprint Toby
Tetraodontidae;Canthigaster;coronata;Crown Toby
Tetraodontidae;Canthigaster;cyanospilota;Blue-spotted Toby
Tetraodontidae;Canthigaster;epilampra;Lantern Toby
Tetraodontidae;Canthigaster;janthinoptera;Green-Spotted Toby
Tetraodontidae;Canthigaster;margaritata;Red Sea Toby
Tetraodontidae;Canthigaster;papua;Papuan Toby
Tetraodontidae;Canthigaster;pygmaea;Pygmy Toby
Tetraodontidae;Canthigaster;solandri;Solander's Toby
Tetraodontidae;Canthigaster;valentini;Black-Saddled Toby
Carangidae;Carangichthys;oblongus;
Carangidae;Carangoides;armatus;
Carangidae;Carangoides;orthogrammus;
Carangidae;Caranx;ignobilis;Giant Trevally
Carangidae;Caranx;melampygus;Bluefin Trevally
Carangidae;Caranx;sexfasciatus;Bigeye Trevally
Carcharhinidae;Carcharhinus;melanopterus;Blacktip Reef Shark
Carcharhinidae;Carcharias;taurus;Sand Tiger Grey Nurse
Centriscidae;Centriscus;scutatus;Rigid Shrimpfish
Pomacanthidae;Centropyge;bicolor;Bicolor Angelfish
Pomacanthidae;Centropyge;bispinosa;Two-Spined Angelfish
Pomacanthidae;Centropyge;fisheri;NA
Pomacanthidae;Centropyge;multifasciata;Multi-Barred Angelfish
Pomacanthidae;Centropyge;multispinis;Many-Spined Angelfish
Pomacanthidae;Centropyge;nox;Midnight Angelfish
Pomacanthidae;Centropyge;tibicen;Keyhole Angelfish
Pomacanthidae;Centropyge;vrolikii;Pearl-Scaled Angelfish
Epinephelidae;Cephalopholis;argus;Peacock Grouper
Epinephelidae;Cephalopholis;boenak;Chocolate Grouper
Epinephelidae;Cephalopholis;cyanostigma;Bluespotted Grouper
Epinephelidae;Cephalopholis;hemistiktos;Yellowfin Hind
Epinephelidae;Cephalopholis;leopardus;Leopard Grouper
Epinephelidae;Cephalopholis;microprion;Freckled Grouper
Epinephelidae;Cephalopholis;miniata;Coral Hind
