Family;Genus;Species;Species English;Bangka;Red Sea;Both;All
Blenniidae;Cirripectes;castaneus;Chestnut Blenny;1;1;1;1
Blenniidae;Cirripectes;filamentosus;Filamentous Blenny;1;0;0;1
Blenniidae;Cirripectes;imitator;Imitator Blenny;1;0;0;1
Blenniidae;Cirripectes;polyzona;Barred Blenny;1;0;0;1
Blenniidae;Cirripectes;springeri;Springers Blenny;1;0;0;1
Blenniidae;Cirripectes;stigmaticus;Red-Streaked Blenny;1;0;0;1
Blenniidae;Crossosalarias;macrospilus;Triplespot Blenny;1;0;0;1
Blenniidae;Ecsenius;aroni;Aron's Blenny;1;1;1;1
Blenniidae;Ecsenius;axelrodi;Clown Blenny;1;0;0;1
Blenniidae;Ecsenius;bandanus;Banda Blenny;1;0;0;1
Blenniidae;Ecsenius;bathi;Bath's Blenny;1;0;0;1
Blenniidae;Ecsenius;bicolor;Bicolor Blenny;1;0;0;1
Blenniidae;Ecsenius;bimaculatus;Twinspot Blenny;1;0;0;1
Blenniidae;Ecsenius;dentex;Dentex Blenny;1;1;1;1
Blenniidae;Ecsenius;frontalis;Smooth-Fin Blenny;0;1;0;1
Blenniidae;Ecsenius;gravieri;Red Sea Mimic Blenny;1;1;1;1
Blenniidae;Ecsenius;lividanalis;Blackass Combtooth Blenny;1;0;0;1
Blenniidae;Ecsenius;midas;Midas Combtooth Blenny;1;1;1;1
Blenniidae;Ecsenius;namiyei;Namiye's Combtooth Blenny;1;0;0;1
Blenniidae;Ecsenius;pictus;Pictus Blenny;1;0;0;1
Blenniidae;Ecsenius;schroederi;Spoke-Eye Blenny;1;0;0;1
Blenniidae;Ecsenius;stictus;Great Barrier Reef Blenny;1;0;0;1
Blenniidae;Ecsenius;stigmatura;Tailspot Blenny;1;0;0;1
Blenniidae;Ecsenius;trilineatus;Three-Lined Blenny;1;0;0;1
Blenniidae;Ecsenius;yaeyamaensis;Yaeyama Blenny;1;0;0;1
Blenniidae;Exallias;brevis;Leopard Blenny;1;1;1;1
Blenniidae;Hirculops;cornifer;Highbrow Rockskipper;1;1;1;1
Blenniidae;Istiblennius;edentulus;Rippled Rockskipper;1;1;1;1
Blenniidae;Istiblennius;rivulatus;Orangelined Rockskipper;1;1;1;1
Blenniidae;Istiblennius;unicolor;Pallid Rockskipper;0;1;0;1
Blenniidae;Meiacanthus;atrodorsalis;Yellowtail Fangblenny;1;0;0;1
Blenniidae;Meiacanthus;crinitus;Hairytail Fangblenny;1;0;0;1
Blenniidae;Meiacanthus;grammistes;Striped Fangblenny;1;0;0;1
Blenniidae;Meiacanthus;nigrolineatus;Blackline Fangblenny;1;1;1;1
Blenniidae;Mimoblennius;atrocinctus;Banded Blenny;1;0;0;1
Blenniidae;Mimoblennius;cirrosus;Fringed Blenny;1;1;1;1
Blenniidae;Nannosalarias;nativitatis;Throatspot Blenny;1;0;0;1
Blenniidae;Petroscirtes;breviceps;Shorthead Fangblenny;1;0;0;1
Blenniidae;Petroscirtes;mitratus;Highfin Fangblenny;1;1;1;1
Blenniidae;Petroscirtes;variabilis;Variable Sabretooth Blenny;1;0;0;1
Blenniidae;Plagiotremus;laudandus;Bicolor Fangblenny;1;0;0;1
Blenniidae;Plagiotremus;rhinorhynchos;Bluestriped Fangblenny;1;1;1;1
Blenniidae;Plagiotremus;tapeinosoma;Piano Fangblenny;1;1;1;1
Blenniidae;Plagiotremus;townsendi;Townsend's Fangblenny;1;1;1;1
Blenniidae;Salarias;alboguttatus;White-Spotted Blenny;1;0;0;1
Blenniidae;Salarias;ceramensis;Seram Blenny;1;0;0;1
Blenniidae;Salarias;fasciatus;Jewelled Blenny;1;1;1;1
Blenniidae;Salarias;guttatus;Fine-Spotted Blenny;1;0;0;1
Blenniidae;Salarias;obscurus;Obscure Blenny;1;0;0;1
Blenniidae;Salarias;ramosus;Starry Blenny;1;0;0;1
Blenniidae;Salarias;segmentatus;Segmented Blenny;1;0;0;1
Blenniidae;Xiphasia;setifer;Snake Blenny;1;0;0;1
Bothidae;Asterorhombus;cocosensis;Cocos Island Flounder;1;0;0;1
Bothidae;Asterorhombus;filifer;Longlure Flounder;1;0;0;1
Bothidae;Asterorhombus;intermedius;Blotched Flounder;1;1;1;1
Bothidae;Bothus;mancus;Peacock Flounder;1;0;0;1
Bothidae;Bothus;pantherinus;Panther Flounder;1;1;1;1
Bothidae;Engyprosopon;grandisquama;Spot-tail Wide-eye Flounder;1;0;0;1
Bothidae;Engyprosopon;macrolepis;Largescale Dwarf Flounder;1;1;1;1
Bothidae;Pseudorhombus;dupliciocellatus;Occelated Flounder;1;0;0;1
Callionymidae;Anaora;tentaculata;Leafy Dragonet;1;0;0;1
Callionymidae;Callionymus;delicatulus;Delicate Dragonet;1;1;1;1
Callionymidae;Callionymus;enneactis;Common Dragonet;1;0;0;1
Callionymidae;Callionymus;zythros;Wongat Dragonet;1;0;0;1
Callionymidae;Callogobius;pilosimentum;Hairy-chinned Flapheaded Goby;0;1;0;1
Callionymidae;Dactylopus;dactylopus;Fingered Dragonet;1;0;0;1
Callionymidae;Dactylopus;kuiteri;Orange And Black Dragonet;1;0;0;1
Callionymidae;Diplogrammus;goramensis;Goram Dragonet;1;0;0;1
Callionymidae;Diplogrammus;randalli;Randall's Dragonet;1;1;1;1
Callionymidae;Synchiropus;bartelsi;Bartel's Dragonet;1;0;0;1
Callionymidae;Synchiropus;morrisoni;Morrison's Dragonet;1;0;0;1
Callionymidae;Synchiropus;moyeri;Moyer's Dragonet;1;0;0;1
Callionymidae;Synchiropus;ocellatus;Ocellated Dragonet;1;0;0;1
Callionymidae;Synchiropus;splendidus;Mandarinfish;1;0;0;1
Callionymidae;Synchiropus;stellatus;Starry Dragonet;1;0;0;1
Carangidae;Atule;mate;Yellowtail Scad;1;1;1;1
Carangidae;Carangichthys;oblongus;NA;1;0;0;1
Carangidae;Carangoides;armatus;NA;1;0;0;1
Carangidae;Carangoides;orthogrammus;NA;1;0;0;1
Carangidae;Caranx;ignobilis;Giant Trevally;1;1;1;1
Carangidae;Caranx;melampygus;Bluefin Trevally;1;1;1;1
Carangidae;Caranx;sexfasciatus;Bigeye Trevally;1;1;1;1
Carangidae;Craterognathus;plagiotaenia;Barcheek Trevally;1;0;0;1
Carangidae;Decapterus;macarellus;Mackerel Scad;1;0;0;1
Carangidae;Decapterus;macrosoma;Slender Scad;1;1;1;1
Carangidae;Elagatis;bipinnulata;Rainbow Runner;1;1;1;1
Carangidae;Ferdauia;ferdau;Barred Trevally;1;1;1;1
Carangidae;Flavocaranx;bajad;Orange-Spotted Trevally;1;1;1;1
Carangidae;Gnathanodon;speciosus;Golden Trevally Pilot Fish;1;1;1;1
Carangidae;Naucrates;ductor;Pilotfish;1;0;0;1
Carangidae;Scomberoides;lysan;Double Spotted Squeenfish;1;1;1;1
Carangidae;Selar;boops;Oxeye scad;1;0;0;1
Carangidae;Selar;crumenophthalmus;Bigeye Scad;1;1;1;1
Carangidae;Selaroides;leptolepis;Yellowstripe Scad;1;0;0;1
Carangidae;Seriolina;nigrofasciata;Blackbanded Jack;1;1;1;1
Carangidae;Trachinotus;baillonii;Small-Spotted Dart;1;0;0;1
Carangidae;Trachinotus;blochii;Snubnose Pompano;0;1;0;1
Carangidae;Turrum;coeruleopinnatum;Onion Trevally;1;0;0;1
Carangidae;Turrum;fulvoguttatum;Yellow-Spotted Trevally;1;1;1;1
Carangidae;Turrum;gymnostethus;Bludger;0;1;0;1
Carcharhinidae;Carcharhinus;melanopterus;Blacktip Reef Shark;1;1;1;1
Carcharhinidae;Carcharias;taurus;Sand Tiger Grey Nurse;1;0;0;1
Carcharhinidae;Prionace;glauca;Blue Shark;1;0;0;1
Carcharhinidae;Triaenodon;obesus;Whitetip Reef Shark;1;1;1;1
Centriscidae;Aeoliscus;punctulatus;Speckled Shrimpfish;0;1;0;1
Centriscidae;Aeoliscus;strigatus;Hinged Shrimpfish;1;0;0;1
Centriscidae;Centriscus;scutatus;Rigid Shrimpfish;1;0;0;1
Centriscidae;Snipefishes;and;NA;1;0;0;1
Chaetodontidae;Chaetodon;adiergastos;Panda Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;auriga;Threadfin Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;austriacus;Exquisite Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;baronessa;Eastern Triangular Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;bennetti;Eclipse Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;citrinellus;Speckled Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;ephippium;Saddled Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;fasciatus;Diagonal Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;guentheri;Yellowrimmed Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;kleinii;Klein's Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;larvatus;Hooded Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;lineolatus;Lined Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;lunula;Raccoon Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;lunulatus;Redfin Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;melannotus;Black-Backed Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;mesoleucos;Whiteface Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;meyeri;Meyer's Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;ocellicaudus;Spot-Tail Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;octofasciatus;Eight-Banded Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;ornatissimus;Ornate Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;paucifasciatus;Crown Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;plebeius;Blue-Spot Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;punctatofasciatus;Spotbanded Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;rafflesii;Latticed Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;reticulatus;Mailed Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;semeion;Semion Dotted Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;semilarvatus;Bluecheek Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;speculum;Oval-Spot Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;trifascialis;Chevroned Butterflyfish;1;1;1;1
Chaetodontidae;Chaetodon;trifasciatus;Indian Redfin Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;ulietensis;Double-Saddle Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;unimaculatus;Teardrop Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;vagabundus;Vagabond Butterflyfish;1;0;0;1
Chaetodontidae;Chaetodon;xanthurus;Pearlscale Butterflyfish;1;0;0;1
Chaetodontidae;Chelmon;rostratus;Long-Beaked Coralfish;1;0;0;1
Chaetodontidae;Coradion;altivelis;Highfin Coralfish;1;0;0;1
Chaetodontidae;Coradion;chrysozonus;Orange-Banded Coralfish;1;0;0;1
Chaetodontidae;Coradion;melanopus;Two-Spot Coralfish;1;0;0;1
Chaetodontidae;Forcipiger;flavissimus;Forcepsfish;1;0;0;1
Chaetodontidae;Forcipiger;longirostris;Longnose Butterflyfish;1;0;0;1
Chaetodontidae;Hemitaurichthys;polylepis;Pyramid Butterflyfish;1;0;0;1
Chaetodontidae;Heniochus;acuminatus;Longfin Bannerfish;1;0;0;1
Chaetodontidae;Heniochus;chrysostomus;Pennant Bannerfish;1;0;0;1
Chaetodontidae;Heniochus;diphreutes;Schooling Bannerfish;1;1;1;1
Chaetodontidae;Heniochus;intermedius;Red Sea Bannerfish;1;1;1;1
